Product ID,Product Name,Brand,Category,Description,Unit Type,Pack Size,Cost Price,Selling Price,Reorder Level,Current Stock,Product Status
PROD-000001,Classic Cream,Crunchy Gold,Sandwich Biscuits,"Rich chocolate biscuits with a balanced sweetness and crisp texture, ideal for supermarkets and wholesale outlets.",Pack,48 x 25g,3581,4400.0,123,1497,Active
PROD-000002,Coconut Crunch,Royal Treat,Cream Biscuits,Light and crispy biscuits carefully produced for convenient retail display and high-volume distribution.,Carton,12 x 100g,11113,14000.0,268,1830,Active
PROD-000003,Golden Crunch,Royal Treat,Crackers,"Premium crunchy biscuits with a rich chocolate flavour and satisfying texture, suitable for family consumption.",Carton,12 x 150g,11806,16100.0,62,2691,Active
PROD-000004,Cocoa Sandwich,Premium Choice,Assorted Biscuits,"Golden baked biscuits with a rich buttery flavour, suitable for retailers, distributors and wholesale customers.",Box,48 x 25g,11502,15100.0,210,2721,Active
PROD-000005,Classic Crackers,Royal Treat,Assorted Biscuits,"Premium crunchy biscuits with a rich chocolate flavour and satisfying texture, suitable for family consumption.",Carton,12 x 150g,3917,5000.0,163,1994,Active
PROD-000006,Caramel Cream,Premium Choice,Wafer Biscuits,"Crispy golden biscuits with a smooth cream filling, designed for everyday retail and wholesale distribution.",Carton,48 x 25g,2503,3300.0,246,2022,Active
PROD-000007,Milk Crunch,Sweet Valley,Cream Biscuits,"Crispy golden biscuits with a smooth cream filling, designed for everyday retail and wholesale distribution.",Carton,12 x 100g,10173,13300.0,105,1388,Active
PROD-000008,Classic Crackers,Sweet Valley,Plain Biscuits,"Classic family-friendly biscuits packaged for convenient storage, transportation and retail distribution.",Pack,24 x 75g,6137,8200.0,291,1627,Active
PROD-000009,Vanilla Cream,Daily Delight,Wafer Biscuits,"Golden baked biscuits with a rich buttery flavour, suitable for retailers, distributors and wholesale customers.",Box,20 x 100g,11596,14500.0,78,1673,Active
PROD-000010,Milk Crunch,Premium Choice,Cream Biscuits,"Crunchy snack biscuits offering a satisfying bite and distinctive flavour, suitable for everyday consumption.",Box,48 x 25g,8810,10800.0,72,1827,Active
PROD-000011,Golden Crunch,Golden Bite,Kids Biscuits,Premium-quality wafer biscuits featuring delicate crispy layers and smooth flavoured cream.,Box,48 x 25g,14350,19700.0,129,3018,Active
PROD-000012,Premium Wafer,Happy Crunch,Sandwich Biscuits,"Crunchy snack biscuits offering a satisfying bite and distinctive flavour, suitable for everyday consumption.",Pack,48 x 25g,4781,5600.0,247,2056,Active
PROD-000013,Cocoa Sandwich,Biscuit House,Wafer Biscuits,Light and crispy biscuits carefully produced for convenient retail display and high-volume distribution.,Carton,12 x 100g,11344,14800.0,151,1381,Active
PROD-000014,Classic Crackers,Family Treat,Wafer Biscuits,"Crispy golden biscuits with a smooth cream filling, designed for everyday retail and wholesale distribution.",Carton,10 x 200g,6307,8600.0,85,1801,Active
PROD-000015,Butter Delight,Daily Delight,Cream Biscuits,Delicious vanilla-flavoured cream biscuits combining a crunchy outer texture with a smooth centre.,Box,10 x 200g,10113,12100.0,160,2673,Active
PROD-000016,Rich Chocolate,Royal Treat,Chocolate Biscuits,Light and crispy biscuits carefully produced for convenient retail display and high-volume distribution.,Carton,24 x 50g,6597,9200.0,90,2772,Active
PROD-000017,Rich Chocolate,Golden Bite,Wafer Biscuits,Delicious vanilla-flavoured cream biscuits combining a crunchy outer texture with a smooth centre.,Pack,12 x 100g,3548,4300.0,203,2397,Active
PROD-000018,Golden Crunch,Golden Bite,Wafer Biscuits,"Crunchy snack biscuits offering a satisfying bite and distinctive flavour, suitable for everyday consumption.",Box,24 x 75g,12363,15300.0,130,2436,Active
PROD-000019,Classic Crackers,Crunchy Gold,Assorted Biscuits,"Crispy golden biscuits with a smooth cream filling, designed for everyday retail and wholesale distribution.",Carton,24 x 75g,2539,3200.0,65,2508,Active
PROD-000020,Vanilla Cream,Family Treat,Wafer Biscuits,"Rich chocolate biscuits with a balanced sweetness and crisp texture, ideal for supermarkets and wholesale outlets.",Pack,12 x 150g,9726,11700.0,59,2414,Active
PROD-000021,Premium Wafer,Golden Bite,Plain Biscuits,"Golden baked biscuits with a rich buttery flavour, suitable for retailers, distributors and wholesale customers.",Box,12 x 100g,11073,15300.0,280,1989,Active
PROD-000022,Family Pack,Premium Choice,Chocolate Biscuits,"Crispy golden biscuits with a smooth cream filling, designed for everyday retail and wholesale distribution.",Carton,24 x 50g,14756,18900.0,159,2631,Active
PROD-000023,Golden Crunch,Crispy Crown,Plain Biscuits,"Rich chocolate biscuits with a balanced sweetness and crisp texture, ideal for supermarkets and wholesale outlets.",Box,48 x 25g,2933,3700.0,56,2299,Active
PROD-000024,Family Pack,Royal Treat,Cream Biscuits,"Rich chocolate biscuits with a balanced sweetness and crisp texture, ideal for supermarkets and wholesale outlets.",Carton,12 x 150g,11405,13800.0,189,1323,Active
PROD-000025,Coconut Crunch,Sweet Valley,Sandwich Biscuits,"Crispy golden biscuits with a smooth cream filling, designed for everyday retail and wholesale distribution.",Carton,24 x 50g,9228,12700.0,252,3114,Active
PROD-000026,Vanilla Cream,Biscuit House,Assorted Biscuits,"Classic family-friendly biscuits packaged for convenient storage, transportation and retail distribution.",Box,12 x 100g,12138,16300.0,197,1689,Active
PROD-000027,Classic Crackers,Happy Crunch,Cream Biscuits,Assorted biscuit selection combining popular flavours in a convenient commercial pack.,Pack,12 x 150g,10771,14500.0,273,1878,Active
PROD-000028,Golden Crunch,Premium Choice,Wafer Biscuits,"Premium crunchy biscuits with a rich chocolate flavour and satisfying texture, suitable for family consumption.",Carton,12 x 100g,7686,10500.0,196,1784,Active
PROD-000029,Cocoa Sandwich,Daily Delight,Sandwich Biscuits,"Rich chocolate biscuits with a balanced sweetness and crisp texture, ideal for supermarkets and wholesale outlets.",Carton,12 x 150g,2818,3600.0,247,2075,Active
PROD-000030,Golden Crunch,Golden Bite,Chocolate Biscuits,"Rich chocolate biscuits with a balanced sweetness and crisp texture, ideal for supermarkets and wholesale outlets.",Carton,12 x 150g,7308,8800.0,261,2053,Active
PROD-000031,Classic Crackers,Sweet Valley,Cream Biscuits,"Premium crunchy biscuits with a rich chocolate flavour and satisfying texture, suitable for family consumption.",Carton,20 x 100g,12814,16700.0,270,3264,Active
PROD-000032,Rich Chocolate,Crispy Crown,Chocolate Biscuits,"Premium crunchy biscuits with a rich chocolate flavour and satisfying texture, suitable for family consumption.",Box,20 x 100g,5085,6700.0,113,2403,Active
PROD-000033,Coconut Crunch,Daily Delight,Kids Biscuits,"Crunchy snack biscuits offering a satisfying bite and distinctive flavour, suitable for everyday consumption.",Carton,48 x 25g,6330,7600.0,137,1616,Active
PROD-000034,Classic Cream,Sweet Valley,Plain Biscuits,"Golden baked biscuits with a rich buttery flavour, suitable for retailers, distributors and wholesale customers.",Carton,12 x 150g,9590,11700.0,164,685,Active
PROD-000035,Milk Crunch,Crispy Crown,Sandwich Biscuits,Premium-quality wafer biscuits featuring delicate crispy layers and smooth flavoured cream.,Box,10 x 200g,9220,12900.0,240,2856,Active
PROD-000036,Cocoa Sandwich,Daily Delight,Kids Biscuits,Delicious vanilla-flavoured cream biscuits combining a crunchy outer texture with a smooth centre.,Box,12 x 100g,13322,17300.0,96,2339,Active
PROD-000037,Butter Delight,Golden Bite,Sandwich Biscuits,Assorted biscuit selection combining popular flavours in a convenient commercial pack.,Box,48 x 25g,5452,7600.0,247,2126,Active
PROD-000038,Caramel Cream,Sweet Valley,Kids Biscuits,"Crispy golden biscuits with a smooth cream filling, designed for everyday retail and wholesale distribution.",Box,20 x 100g,6906,9300.0,256,2665,Active
PROD-000039,Milk Crunch,Crunchy Gold,Assorted Biscuits,"Crispy golden biscuits with a smooth cream filling, designed for everyday retail and wholesale distribution.",Pack,10 x 200g,4411,6000.0,107,1810,Active
PROD-000040,Strawberry Cream,Family Treat,Assorted Biscuits,Light and crispy biscuits carefully produced for convenient retail display and high-volume distribution.,Pack,10 x 200g,12837,14900.0,84,2185,Active
PROD-000041,Caramel Cream,Royal Treat,Assorted Biscuits,"Rich chocolate biscuits with a balanced sweetness and crisp texture, ideal for supermarkets and wholesale outlets.",Pack,24 x 75g,14446,17900.0,273,2552,Active
PROD-000042,Cocoa Sandwich,Crunchy Gold,Sandwich Biscuits,"Rich chocolate biscuits with a balanced sweetness and crisp texture, ideal for supermarkets and wholesale outlets.",Box,10 x 200g,8626,10000.0,295,1901,Active
PROD-000043,Vanilla Cream,Family Treat,Cream Biscuits,"Golden baked biscuits with a rich buttery flavour, suitable for retailers, distributors and wholesale customers.",Box,10 x 200g,11137,15400.0,87,3071,Active
PROD-000044,Classic Crackers,Premium Choice,Crackers,Light and crispy biscuits carefully produced for convenient retail display and high-volume distribution.,Box,24 x 50g,6075,7200.0,134,2473,Active
PROD-000045,Caramel Cream,Sweet Valley,Plain Biscuits,"Classic family-friendly biscuits packaged for convenient storage, transportation and retail distribution.",Box,12 x 100g,8010,10600.0,202,1555,Active
PROD-000046,Classic Cream,Royal Treat,Plain Biscuits,Light and crispy biscuits carefully produced for convenient retail display and high-volume distribution.,Carton,24 x 75g,13999,17400.0,230,2972,Active
PROD-000047,Caramel Cream,Golden Bite,Crackers,Premium-quality wafer biscuits featuring delicate crispy layers and smooth flavoured cream.,Carton,12 x 100g,4888,6200.0,106,1548,Active
PROD-000048,Caramel Cream,Daily Delight,Assorted Biscuits,Light and crispy biscuits carefully produced for convenient retail display and high-volume distribution.,Box,12 x 100g,14852,18300.0,264,1524,Active
PROD-000049,Caramel Cream,Biscuit House,Wafer Biscuits,Light and crispy biscuits carefully produced for convenient retail display and high-volume distribution.,Carton,24 x 50g,13525,17800.0,297,1889,Active
PROD-000050,Caramel Cream,Daily Delight,Crackers,Assorted biscuit selection combining popular flavours in a convenient commercial pack.,Carton,12 x 150g,3292,3900.0,245,2632,Active
